country,scenario_id,scenario,sanctions_intensity_index_0_100,legal_risk_0_100,payment_risk_0_100,insurance_risk_proxy_0_100,methodology_flag,documentation_basis,source
Russia,SCENARIO 1,sanctions actuelles,85,95,100,100,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,EU/US/UK sectoral sanctions and export controls currently documented; ordinal business-risk coding.,Council of the EU Russia sanctions; U.S. Treasury OFAC Russia-related sanctions; UK OFSI Russia sanctions guidance
Russia,SCENARIO 2,allegement partiel,55,65,70,75,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,EU/US/UK sectoral sanctions and export controls currently documented; ordinal business-risk coding.,Council of the EU Russia sanctions; U.S. Treasury OFAC Russia-related sanctions; UK OFSI Russia sanctions guidance
Russia,SCENARIO 3,normalisation complete,20,30,35,40,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,EU/US/UK sectoral sanctions and export controls currently documented; ordinal business-risk coding.,Council of the EU Russia sanctions; U.S. Treasury OFAC Russia-related sanctions; UK OFSI Russia sanctions guidance
China,SCENARIO 1,sanctions actuelles,25,30,32,33,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,"Targeted export controls and entity restrictions exist, but no comprehensive sanctions regime comparable to Russia.",U.S. BIS export controls; China Customs/NBS source registry for industrial data
China,SCENARIO 2,allegement partiel,20,25,27,28,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,"Targeted export controls and entity restrictions exist, but no comprehensive sanctions regime comparable to Russia.",U.S. BIS export controls; China Customs/NBS source registry for industrial data
China,SCENARIO 3,normalisation complete,15,20,22,23,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,"Targeted export controls and entity restrictions exist, but no comprehensive sanctions regime comparable to Russia.",U.S. BIS export controls; China Customs/NBS source registry for industrial data
India,SCENARIO 1,sanctions actuelles,10,15,17,18,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,No broad Western sanctions regime; low payment/legal restriction score for this model.,Public sanctions lists; World Bank/IMF macro source registry
India,SCENARIO 2,allegement partiel,8,13,15,16,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,No broad Western sanctions regime; low payment/legal restriction score for this model.,Public sanctions lists; World Bank/IMF macro source registry
India,SCENARIO 3,normalisation complete,8,13,15,16,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,No broad Western sanctions regime; low payment/legal restriction score for this model.,Public sanctions lists; World Bank/IMF macro source registry
Kazakhstan,SCENARIO 1,sanctions actuelles,20,25,27,28,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,Secondary-sanctions exposure due to Russia-linked trade routes; not a broad sanctioned jurisdiction.,Council of the EU/OFAC Russia circumvention guidance; ADB/Kazakhstan statistics source registry
Kazakhstan,SCENARIO 2,allegement partiel,15,20,22,23,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,Secondary-sanctions exposure due to Russia-linked trade routes; not a broad sanctioned jurisdiction.,Council of the EU/OFAC Russia circumvention guidance; ADB/Kazakhstan statistics source registry
Kazakhstan,SCENARIO 3,normalisation complete,12,17,19,20,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,Secondary-sanctions exposure due to Russia-linked trade routes; not a broad sanctioned jurisdiction.,Council of the EU/OFAC Russia circumvention guidance; ADB/Kazakhstan statistics source registry
Turkmenistan,SCENARIO 1,sanctions actuelles,15,20,22,23,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,Limited direct sanctions exposure in the model; higher opacity and payment risk handled separately.,ADB/World Bank source registry; public sanctions lists
Turkmenistan,SCENARIO 2,allegement partiel,12,17,19,20,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,Limited direct sanctions exposure in the model; higher opacity and payment risk handled separately.,ADB/World Bank source registry; public sanctions lists
Turkmenistan,SCENARIO 3,normalisation complete,10,15,17,18,ASSUMPTION - documented ordinal coding; not an official sanctions-count index,Limited direct sanctions exposure in the model; higher opacity and payment risk handled separately.,ADB/World Bank source registry; public sanctions lists
